time(s),p1(kPa),p2(kPa),flow(L/min),Voltage(V)
time(s),p1(kPa),p2(kPa),flow(L/min),Voltage(V)
8.23,1.51,1.58,31.38,6.68
8.24,1.61,1.56,32.6,6.7
8.25,1.39,1.54,28.93,6.72
8.27,1.39,1.51,29.18,6.77
8.28,1.37,1.51,28.69,6.76
8.29,1.45,1.47,29.91,6.83
8.31,1.48,1.46,29.67,6.82
8.32,1.26,1.41,26.49,6.86
8.33,1.29,1.41,26.98,6.82
8.35,1.26,1.39,26.49,6.88
8.36,1.39,1.35,28.45,6.89
8.37,1.36,1.34,27.22,6.87
8.39,1.15,1.3,24.29,6.9
8.4,1.19,1.3,24.78,6.88
8.41,1.15,1.28,24.29,6.93
8.43,1.3,1.23,26.25,6.93
8.44,1.21,1.23,24.54,6.88
8.45,1.04,1.19,22.09,6.92
8.47,1.08,1.17,22.58,6.9
8.48,1.06,1.14,22.34,6.89
8.49,1.21,1.12,24.29,6.88
8.51,1.06,1.1,21.36,6.87
8.52,0.96,1.08,20.14,6.88
8.53,0.98,1.06,20.63,6.86
8.54,0.97,1.03,20.38,6.85
8.56,1.1,1.02,22.09,6.83
8.57,0.92,0.99,18.91,6.83
8.58,0.87,0.97,18.43,6.81
8.6,0.88,0.95,18.43,6.79
8.61,0.92,0.92,19.16,6.76
8.62,0.99,0.91,19.89,6.73
8.64,0.79,0.91,16.47,6.73
8.65,0.79,0.88,16.72,6.75
8.66,0.77,0.86,16.47,6.71
8.68,0.87,0.84,17.94,6.68
8.69,0.9,0.82,17.69,6.64
8.7,0.68,0.81,14.27,6.63
8.72,0.73,0.79,15.49,6.61
8.73,0.7,0.79,15,6.57
8.74,0.84,0.77,16.96,6.57
8.76,0.8,0.75,15.98,6.55
8.77,0.6,0.74,13.05,6.5
8.78,0.65,0.73,14.03,6.47
8.8,0.64,0.71,13.78,6.45
8.81,0.8,0.7,15.98,6.42
8.82,0.7,0.7,14.03,6.38
8.84,0.55,0.68,12.07,6.37
8.85,0.6,0.68,13.05,6.31
8.86,0.59,0.66,12.81,6.3
8.88,0.76,0.66,15,6.26
8.89,0.6,0.65,12.32,6.24
8.9,0.53,0.63,11.58,6.2
8.91,0.58,0.64,12.32,6.13
8.93,0.58,0.63,12.32,6.13
8.94,0.73,0.63,14.27,6.08
8.95,0.53,0.63,11.09,6.06
8.97,0.53,0.6,11.34,6.03
8.98,0.54,0.62,11.83,5.95
8.99,0.62,0.62,12.81,5.94
9.01,0.69,0.6,13.54,5.91
9.02,0.49,0.62,10.61,5.85
9.03,0.53,0.62,11.58,5.84
9.05,0.53,0.62,11.34,5.8
9.06,0.65,0.62,13.29,5.75
9.07,0.66,0.6,13.05,5.71
9.09,0.47,0.62,10.36,5.64
9.1,0.54,0.6,11.83,5.62
9.11,0.53,0.63,11.58,5.54
9.13,0.69,0.63,14.03,5.54
9.14,0.65,0.62,12.81,5.49
9.15,0.48,0.62,10.61,5.41
9.16,0.55,0.64,12.07,5.36
9.18,0.55,0.65,12.07,5.35
9.19,0.74,0.65,14.76,5.32
9.2,0.62,0.65,12.56,5.26
9.22,0.52,0.65,11.58,5.2
9.23,0.58,0.68,12.56,5.13
9.24,0.59,0.68,12.81,5.11
9.26,0.76,0.68,15.25,5.05
9.27,0.62,0.69,12.81,4.98
9.28,0.58,0.7,12.56,4.93
9.3,0.62,0.69,13.29,4.89
9.31,0.65,0.71,14.03,4.79
9.32,0.79,0.73,15.74,4.76
9.34,0.6,0.73,12.81,4.71
9.35,0.63,0.74,13.54,4.64
9.36,0.65,0.75,14.27,4.58
9.38,0.75,0.75,15.74,4.52
9.39,0.82,0.8,16.47,4.44
9.4,0.65,0.84,14.03,4.45
9.42,0.73,0.86,15.74,4.44
9.43,0.75,0.88,16.23,4.42
9.44,0.91,0.91,18.67,4.38
9.46,0.93,0.93,19.16,4.33
9.47,0.77,0.98,16.96,4.3
9.48,0.87,1.02,19.16,4.3
9.5,0.9,1.07,19.65,4.28
9.51,1.12,1.1,23.07,4.29
9.52,1.08,1.13,22.34,4.27
9.53,0.97,1.18,21.11,4.21
9.55,1.07,1.24,23.07,4.22
9.56,1.1,1.28,23.8,4.24
9.57,1.32,1.32,27.22,4.22
9.59,1.23,1.36,25.51,4.22
9.6,1.18,1.39,25.27,4.19
9.61,1.26,1.45,26.98,4.14
9.63,1.31,1.5,28.2,4.16
9.64,1.52,1.53,31.38,4.15
9.65,1.4,1.58,29.42,4.12
9.67,1.41,1.62,29.91,4.11
9.68,1.47,1.64,31.38,4.08
9.69,1.56,1.7,33.09,4.02
9.71,1.73,1.76,35.53,4.04
9.72,1.58,1.81,33.09,4.06
9.73,1.64,1.86,34.8,4.05
9.75,1.7,1.9,36.02,4.03
9.76,1.83,1.95,37.98,3.99
9.77,1.94,2,39.69,3.98
9.79,1.79,2.03,37.49,3.96
9.8,1.87,2.08,39.69,3.93
9.81,1.92,2.14,40.42,3.91
9.83,2.11,2.19,43.84,3.92
9.84,2.17,2.27,44.57,3.9
