time(s),p(kPa),Voltage(V)
9.02,5.93,4.59
9.03,5.93,4.59
9.04,5.92,4.61
9.06,5.93,4.55
9.07,5.92,4.65
9.08,5.93,4.61
9.09,5.93,4.72
9.1,5.93,4.77
9.11,5.92,4.82
9.13,5.91,4.81
9.14,5.91,4.8
9.15,5.91,4.87
9.16,5.89,4.94
9.18,5.89,4.95
9.19,5.88,5.05
9.2,5.87,5.07
9.21,5.86,5.09
9.22,5.87,5.13
9.24,5.86,5.32
9.25,5.85,5.37
9.26,5.83,5.41
9.27,5.83,5.48
9.28,5.82,5.62
9.3,5.8,5.69
9.31,5.77,5.68
9.32,5.74,5.7
9.33,5.71,5.64
9.35,5.7,5.66
9.36,5.69,5.77
9.37,5.65,5.86
9.38,5.59,5.82
9.39,5.55,5.65
9.4,5.54,5.64
9.42,5.53,5.74
9.43,5.5,5.88
9.44,5.45,5.94
9.45,5.41,5.88
9.46,5.37,5.78
9.48,5.34,5.79
9.49,5.31,5.89
9.5,5.28,5.9
9.51,5.25,5.97
9.52,5.2,6
9.54,5.14,5.97
9.55,5.09,5.85
9.56,5.06,5.79
9.57,5.04,5.93
9.59,5,6.05
9.6,4.95,6.09
9.61,4.89,6.05
9.62,4.84,5.98
9.63,4.79,5.97
9.65,4.76,5.96
9.66,4.72,6.05
9.67,4.68,6.09
9.68,4.64,6.17
9.69,4.56,6.17
9.71,4.53,6.05
9.72,4.46,6.11
9.73,4.44,6.05
9.74,4.38,6.23
9.75,4.33,6.18
9.77,4.27,6.17
9.78,4.22,6.12
9.79,4.18,6.17
9.8,4.12,6.27
9.81,4.06,6.2
9.83,4,6.18
9.84,3.96,6.14
9.85,3.93,6.25
9.86,3.87,6.33
9.87,3.82,6.33
9.89,3.76,6.36
9.9,3.7,6.33
9.91,3.65,6.27
9.92,3.6,6.34
9.93,3.55,6.38
9.95,3.49,6.43
9.96,3.43,6.4
9.97,3.38,6.37
9.98,3.33,6.42
10,3.26,6.46
10.01,3.21,6.39
10.02,3.17,6.41
10.03,3.12,6.53
10.04,3.07,6.6
10.06,3,6.65
10.07,2.94,6.54
10.08,2.88,6.49
10.09,2.83,6.49
10.1,2.8,6.53
10.12,2.75,6.72
10.13,2.68,6.79
10.14,2.63,6.65
10.15,2.57,6.69
10.16,2.51,6.65
10.18,2.47,6.64
10.19,2.42,6.75
10.2,2.38,6.78
10.21,2.33,6.81
10.22,2.27,6.84
10.24,2.22,6.8
10.25,2.17,6.82
10.26,2.12,6.87
10.27,2.06,6.86
10.28,2.01,6.8
10.3,1.96,6.84
10.31,1.92,6.86
10.32,1.87,6.94
10.33,1.81,6.92
10.35,1.78,6.87
10.36,1.74,6.94
10.37,1.69,7.01
10.38,1.63,7.03
10.39,1.58,6.94
10.4,1.54,6.91
10.42,1.5,6.96
10.43,1.46,6.96
10.44,1.41,7.01
10.45,1.36,6.98
10.47,1.3,6.94
10.48,1.24,6.83
10.49,1.21,6.71
10.5,1.17,6.81
10.51,1.14,6.78
10.53,1.09,6.85
10.54,1.04,6.79
10.55,0.99,6.74
10.56,0.96,6.67
10.57,0.92,6.67
10.59,0.87,6.66
10.6,0.85,6.58
10.61,0.81,6.63
10.62,0.77,6.61
10.64,0.74,6.6
10.65,0.7,6.57
10.66,0.68,6.51
10.67,0.64,6.54
10.68,0.6,6.5
10.7,0.57,6.45
10.71,0.54,6.39
10.72,0.52,6.38
10.73,0.52,6.4
10.74,0.49,6.54
10.76,0.46,6.53
10.77,0.42,6.45
10.78,0.4,6.34
10.79,0.38,6.31
10.81,0.37,6.35
10.82,0.35,6.39
10.83,0.33,6.34
10.84,0.31,6.36
10.85,0.3,6.3
10.86,0.27,6.31
10.88,0.26,6.24
10.89,0.26,6.23
10.9,0.25,6.3
10.91,0.24,6.28
10.93,0.21,6.25
10.94,0.21,6.15
10.95,0.2,6.19
10.96,0.2,6.14
10.97,0.19,6.17
10.99,0.18,6.11
11,0.16,6.05
11.01,0.15,5.98
11.02,0.16,5.91
11.03,0.16,5.97
11.05,0.16,5.96
11.06,0.18,5.94
11.07,0.16,5.98
11.08,0.16,5.87
11.1,0.16,5.83
11.11,0.16,5.78
11.12,0.18,5.73
11.13,0.18,5.74
11.14,0.18,5.68
11.15,0.18,5.6
11.17,0.19,5.52
11.18,0.19,5.51
11.19,0.21,5.41
11.2,0.21,5.46
11.22,0.22,5.36
11.23,0.24,5.33
11.24,0.24,5.28
11.25,0.25,5.16
11.27,0.26,5.1
11.28,0.27,5.03
11.29,0.27,4.98
11.3,0.29,4.83
11.31,0.32,4.75
11.32,0.35,4.8
11.34,0.38,4.79
11.35,0.4,4.84
11.36,0.41,4.75
11.37,0.43,4.63
11.39,0.49,4.59
11.4,0.54,4.77
11.41,0.57,4.85
11.42,0.58,4.81
11.43,0.6,4.68
11.45,0.64,4.62
11.46,0.68,4.6
11.47,0.73,4.6
11.48,0.77,4.69
11.49,0.81,4.73
11.51,0.84,4.72
11.52,0.86,4.62
11.53,0.88,4.52
11.54,0.95,4.4
11.55,1.03,4.54
11.57,1.07,4.79
11.58,1.07,4.73
11.59,1.08,4.46
11.6,1.15,4.27
11.61,1.23,4.46
11.63,1.28,4.59
11.64,1.29,4.61
11.65,1.31,4.4
11.66,1.37,4.23
11.68,1.45,4.31
11.69,1.5,4.48
11.7,1.52,4.47
11.71,1.56,4.29
11.72,1.62,4.21
11.74,1.67,4.27
11.75,1.72,4.25
11.76,1.76,4.23
11.77,1.81,4.21
11.78,1.86,4.19
11.8,1.92,4.14
11.81,1.98,4.21
11.82,2.02,4.25
11.83,2.07,4.12
11.85,2.14,4.09
11.86,2.19,4.2
11.87,2.25,4.16
11.88,2.29,4.2
11.89,2.34,4.08
11.91,2.4,4.04
11.92,2.46,4.05
11.93,2.52,4.08
11.94,2.58,4.14
11.95,2.63,4.16
11.97,2.69,4.09
11.98,2.74,4.12
11.99,2.79,4.07
12,2.86,4
12.01,2.93,4.13
12.03,2.99,4.16
12.04,3.05,4.18
12.05,3.08,4.18
12.06,3.13,4.06
12.07,3.19,4.05
12.09,3.27,4.05
12.1,3.33,4.15
12.11,3.39,4.18
12.12,3.44,4.21
12.14,3.49,4.17
12.15,3.52,4.14
12.16,3.57,4.02
12.17,3.65,3.96
12.18,3.73,4.07
12.19,3.78,4.26
12.21,3.8,4.26
12.22,3.87,4.05
12.23,3.94,4.1
12.24,3.99,4.22
12.26,4.02,4.2
12.27,4.07,4.1
12.28,4.12,4.09
12.29,4.18,4.07
12.31,4.24,4.11
12.32,4.31,4.17
12.33,4.34,4.26
12.34,4.38,4.19
12.35,4.43,4.09
12.36,4.48,4.09
12.38,4.53,4.1
12.39,4.59,4.08
12.4,4.62,4.2
12.41,4.67,4.14
12.43,4.71,4.16
12.44,4.76,4.09
12.45,4.81,4.12
12.46,4.84,4.17
12.47,4.89,4.12
12.49,4.93,4.16
12.5,4.97,4.13
12.51,5.01,4.11
12.52,5.05,4.14
12.53,5.1,4.15
12.55,5.12,4.21
12.56,5.17,4.12
12.57,5.2,4.19
12.58,5.23,4.12
12.6,5.28,4.15
12.61,5.31,4.22
12.62,5.33,4.17
12.63,5.36,4.12
12.64,5.38,4.07
12.65,5.43,4.04
12.67,5.47,4.16
12.68,5.5,4.21
12.69,5.52,4.25
12.7,5.55,4.16
12.72,5.56,4.22
12.73,5.6,4.15
12.74,5.63,4.23
12.75,5.65,4.23
12.77,5.66,4.25
12.78,5.69,4.19
12.79,5.7,4.22
12.8,5.72,4.18
12.81,5.75,4.21
12.82,5.77,4.26
12.84,5.78,4.31
12.85,5.8,4.29
