time(s),p(kPa),Voltage(V)
12.72,0.00,6.42
12.74,0.00,6.61
12.75,0.00,6.56
12.76,0.00,6.38
12.78,0.00,6.35
12.79,0.00,6.51
12.80,0.00,6.57
12.82,0.00,6.53
12.83,0.00,6.47
12.84,0.00,6.38
12.85,0.00,6.31
12.87,0.00,6.51
12.88,0.00,6.43
12.89,0.00,6.34
12.91,0.00,6.28
12.92,0.00,6.32
12.93,0.00,6.48
12.95,0.00,6.52
12.96,0.00,6.19
12.97,0.00,6.22
12.98,0.00,6.39
13.00,0.00,6.39
13.01,0.00,6.29
13.02,0.00,6.19
13.04,0.00,6.21
13.05,0.00,6.34
13.06,0.00,6.35
13.08,0.00,6.25
13.09,0.00,6.24
13.10,0.00,6.23
13.12,0.00,6.25
13.13,0.00,6.36
13.14,0.00,6.33
13.15,0.00,6.21
13.17,0.00,6.31
13.18,0.00,6.29
13.19,0.00,6.24
13.21,0.00,6.23
13.22,0.00,6.19
13.23,0.00,6.27
13.25,0.00,6.23
13.26,0.00,6.18
13.27,0.00,6.25
13.28,0.00,6.19
13.30,0.00,6.25
13.31,0.00,6.31
13.32,0.00,6.25
13.34,0.00,6.16
13.35,0.00,6.08
13.36,0.00,6.24
13.38,0.00,6.29
13.39,0.00,6.30
13.40,0.00,6.20
13.42,0.00,6.23
13.43,0.00,6.12
13.44,0.00,6.12
13.46,0.00,6.14
13.47,0.00,6.13
13.48,0.00,6.25
13.49,0.00,6.23
13.51,0.00,6.22
13.52,0.00,6.20
13.53,0.00,6.17
13.55,0.00,6.14
13.56,0.00,6.23
13.57,0.00,6.19
13.59,0.00,6.14
13.60,0.00,6.21
13.61,0.00,6.15
13.62,0.00,6.09
13.64,0.00,6.14
13.65,0.00,6.07
13.66,0.00,6.11
13.68,0.00,6.15
13.69,0.00,6.06
13.70,0.00,6.09
13.72,0.00,6.11
13.73,0.00,6.01
13.74,0.00,6.02
13.76,0.00,6.03
13.77,0.00,6.03
13.78,0.00,6.02
13.79,0.00,6.01
13.81,0.00,6.00
13.82,0.00,5.85
13.83,0.00,5.95
13.85,0.00,5.80
13.86,0.00,5.88
13.87,0.00,5.84
13.89,0.00,5.79
13.90,0.00,5.74
13.91,0.00,5.68
13.92,0.00,5.61
